molecule_id,canonical_smiles,"Serotonin (5-HT) receptor","Serotonin 1 (5-HT1) receptor","Serotonin 1 receptors; 5-HT1B & 5-HT1D","Serotonin 1a (5-HT1a) receptor","Serotonin 1b (5-HT1b) receptor","Serotonin 1d (5-HT1d) receptor","Serotonin 1e (5-HT1e) receptor","Serotonin 1f (5-HT1f) receptor","Serotonin 2 (5-HT2) receptor","Serotonin 2 receptors; 5-HT2a & 5-HT2c","Serotonin 2a (5-HT2a) receptor","Serotonin 2b (5-HT2b) receptor","Serotonin 2c (5-HT2c) receptor","Serotonin 3 (5-HT3) receptor","Serotonin 3a (5-HT3a) receptor","Serotonin 3b (5-HT3b) receptor","Serotonin 4 (5-HT4) receptor","Serotonin 5a (5-HT5a) receptor","Serotonin 5b (5-HT5b) receptor","Serotonin 6 (5-HT6) receptor","Serotonin 7 (5-HT7) receptor"
3648,CCCOC(=O)c1cc(OC)c(CC(C)N)cc1OC,,,,,,,,,5.61,,,,,,,,,,,,
3649,CCCNC(=O)c1cc(OC)c(CC(C)N)cc1OC,,,,,,,,,5.12,,,,,,,,,,,,
3659,COc1cc(CC(C)N)c(OC)cc1CCCc1ccccc1,,,,,,,,,,,7.712,,7.3,,,,,,,,
3666,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,,,,,,,,,,,,4.71,,,,,,,,,
3671,CCCc1cc(OC)c(CC(C)N)cc1OC,,5.5,,,,,,,7.16,,,,7.85,,,,,,,,
3683,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,,,,5.52333333333333,5.455,6.575,,,8.766,,8.7726,6.645,7.298,,,,,4.7,,5.55,5.89
3700,CCc1cc(OC)c(CC(C)N)cc1OC,7.18,5.34,,,,,,,7.0,,7.0,,7.0,,,,,,,,
3701,COc1cc(CC(C)N)c(OC)cc1F,7.2,5.47,,,,,,,5.96,,,,,,,,,,,,
3702,CCOc1cc(OC)c(CC(C)N)cc1OC,6.78,,,,,,,,5.66,,,,5.64,,,,,,,,
3710,COc1ccc(OC)c(CC(C)N)c1,6.83,5.99,,,,,,,5.49,,5.62875,6.83,5.92,,,,,,,,
3770,COc1cc(C(C)C)c(OC)cc1CC(C)N,,,,,,,,,7.12,,,,,,,,,,,,
3771,COc1cc(CC(C)N)c(OC)cc1N,,,,,,,,,4.58,,,,,,,,,,,,
3799,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,,,,,,,,,,,5.34,6.525,,,,,,,,,6.58
3854,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,5.35,,,6.284,,,,,,,6.23,5.615,5.14,,,,,,,,6.73
3859,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,,4.7,,5.6348,,,,,7.4152,,7.1116,5.6775,5.31769230769231,,,,,4.98,,5.59,6.07333333333333
3946,COc1cccc2c1C(CCCN1CCN(c3cccc(Cl)c3)CC1)=CCC2,,,,7.5,,,,,5.87,,,,,,,,,,,,
3947,COc1cccc2c1C(CCCN1CCN(c3cccc(C(F)(F)F)c3)CC1)=CCC2,,,,7.25,,,,,5.62,,,,,,,,,,,,
3965,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,,,,,,,,,,,6.06,,5.62,,,,,,,,
4141,COc1cccc2c1C(CCCN1CCN(c3ccccc3)CC1)=CCC2,,,,7.74,,,,,6.69,,,,,,,,,,,,
4149,CCCN(CCC)C1CCc2cccc(O)c2C1,,6.9,,8.62307142857143,5.70666666666667,6.865,,,5.54714285714286,,4.31,,4.985,8.92,,,,5.73333333333333,,,6.44666666666667
4169,COc1ccc2c(c1)CCC=C2CCCN1CCN(c2cccc(Cl)c2)CC1,,,,6.88,,,,,6.88,,,,,,,,,,,,
4181,COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,,,,8.9772,5.97,,,,,,,,,,,,,,,,7.78
4187,COc1ccc2c(c1)CCC=C2CCCN1CCN(c2ccccc2)CC1,,,,6.83,,,,,6.92,,,,,,,,,,,,
